hidden_dim,num_layers,dropout,learning_rate,weight_decay,scheduler_type,scheduler_param,best_val_loss,epochs_trained,final_val_mae,final_val_mse
64,1,0.0,0.01,0.0001,step,20,0.17827535409014672,51,1.3935433439910412,8.838581033051014
64,1,0.0,0.01,0.0001,none,20,0.19951047049835324,34,1.66338225081563,10.233364939689636
64,1,0.0,0.01,1e-05,step,20,0.1751062369439751,40,1.4384629428386688,8.812405735254288
64,1,0.0,0.01,1e-05,none,20,0.17771493457257748,44,2.601376533508301,21.691523045301437
64,1,0.0,0.001,0.0001,step,20,0.19417179585434496,52,1.4492861218750477,9.53064551949501
64,1,0.0,0.001,0.0001,none,20,0.193712665932253,51,1.5867932997643948,10.08601799607277
64,1,0.0,0.001,1e-05,step,20,0.18879278330132365,63,1.408413015305996,9.22911611944437
64,1,0.0,0.001,1e-05,none,20,0.19041254208423197,46,1.6566628888249397,10.029966250061989
64,1,0.2,0.01,0.0001,step,20,0.1845711744390428,34,1.4770792350172997,9.435317382216454
64,1,0.2,0.01,0.0001,none,20,0.19513231539167464,32,1.691182229667902,10.527880862355232
64,1,0.2,0.01,1e-05,step,20,0.16447551583405584,52,1.3107273653149605,8.139810107648373
64,1,0.2,0.01,1e-05,none,20,0.19201251678168774,29,1.5147970989346504,9.537279829382896
64,1,0.2,0.001,0.0001,step,20,0.19344508182257414,59,1.4446575157344341,9.4701469540596
64,1,0.2,0.001,0.0001,none,20,0.19768800935707986,42,1.527501918375492,9.70177711546421
64,1,0.2,0.001,1e-05,step,20,0.19194853655062616,51,1.425551950931549,9.421829462051392
64,1,0.2,0.001,1e-05,none,20,0.20259805559180677,39,1.6866980828344822,10.308718770742416
64,2,0.0,0.01,0.0001,step,20,0.16630073892883956,81,1.3257061187177896,8.156573668122292
64,2,0.0,0.01,0.0001,none,20,0.2049315175972879,35,1.7968709506094456,10.91916599869728
64,2,0.0,0.01,1e-05,step,20,0.17321752826683223,37,1.446115929633379,8.587122067809105
64,2,0.0,0.01,1e-05,none,20,0.1875941357575357,33,1.7761864736676216,11.400247722864151
64,2,0.0,0.001,0.0001,step,20,0.18218421773053706,54,1.3922609016299248,8.929767772555351
64,2,0.0,0.001,0.0001,none,20,0.1883659812156111,52,1.58444569632411,9.668990023434162
64,2,0.0,0.001,1e-05,step,20,0.17879439773969352,58,1.3857609443366528,8.762464135885239
64,2,0.0,0.001,1e-05,none,20,0.17910640710033476,52,1.579016175121069,9.29398150742054
64,2,0.2,0.01,0.0001,step,20,0.17099420470185578,77,1.3849608227610588,8.478959061205387
64,2,0.2,0.01,0.0001,none,20,0.21167904091998935,29,1.7502525672316551,11.259556710720062
64,2,0.2,0.01,1e-05,step,20,0.16809810418635607,58,1.359961288049817,8.273467816412449
64,2,0.2,0.01,1e-05,none,20,0.20210487092845142,45,2.0697631761431694,15.372591733932495
64,2,0.2,0.001,0.0001,step,20,0.19029246433638036,52,1.429394192993641,9.409079223871231
64,2,0.2,0.001,0.0001,none,20,0.20173582201823592,54,1.638898205012083,10.368146106600761
64,2,0.2,0.001,1e-05,step,20,0.19771375483833253,54,1.4600448831915855,9.787306919693947
64,2,0.2,0.001,1e-05,none,20,0.19773348909802735,41,1.6048300713300705,9.860357284545898
128,1,0.0,0.01,0.0001,step,20,0.18354813382029533,33,1.4069653265178204,8.960784211754799
128,1,0.0,0.01,0.0001,none,20,0.2000361466780305,31,1.6112790741026402,10.325159013271332
128,1,0.0,0.01,1e-05,step,20,0.17054958688095212,52,1.3570030629634857,8.38003759086132
128,1,0.0,0.01,1e-05,none,20,0.1905455479864031,28,1.5182554237544537,9.399726659059525
128,1,0.0,0.001,0.0001,step,20,0.18943431903608143,40,1.4929030798375607,9.65291453897953
128,1,0.0,0.001,0.0001,none,20,0.19014917919412255,53,1.5164375230669975,9.445613712072372
128,1,0.0,0.001,1e-05,step,20,0.17697314079850912,63,1.3624390065670013,8.689924158155918
128,1,0.0,0.001,1e-05,none,20,0.1862034797668457,41,1.4607636742293835,9.353537306189537
128,1,0.2,0.01,0.0001,step,20,0.1744200475513935,58,1.3825241196900606,8.75702066719532
128,1,0.2,0.01,0.0001,none,20,0.1897042286582291,44,1.660806518048048,10.41370740532875
128,1,0.2,0.01,1e-05,step,20,0.16423028451390564,57,1.3404723349958658,8.217341795563698
128,1,0.2,0.01,1e-05,none,20,0.1786089655943215,34,1.7942132279276848,11.44619706273079
128,1,0.2,0.001,0.0001,step,20,0.18529205303639174,58,1.3987191580235958,9.0842986702919
128,1,0.2,0.001,0.0001,none,20,0.18104088655672967,68,1.4350730702280998,9.01675696671009
128,1,0.2,0.001,1e-05,step,20,0.17888027150183916,51,1.3857963867485523,8.73858044296503
128,1,0.2,0.001,1e-05,none,20,0.17980116582475603,56,1.437811218202114,8.864964917302132
128,2,0.0,0.01,0.0001,step,20,0.24455116037279367,15,2.5476135462522507,16.14288303256035
128,2,0.0,0.01,0.0001,none,20,0.20033773011527956,37,1.6186756901443005,10.455048069357872
128,2,0.0,0.01,1e-05,step,20,0.17439478659071028,75,1.38688800111413,8.678132146596909
128,2,0.0,0.01,1e-05,none,20,0.18256741715595126,41,1.5778398253023624,9.347879201173782
128,2,0.0,0.001,0.0001,step,20,0.1717353775165975,56,1.3446451034396887,8.408287972211838
128,2,0.0,0.001,0.0001,none,20,0.18497858755290508,49,1.4862005338072777,9.221777729690075
128,2,0.0,0.001,1e-05,step,20,0.16595797333866358,62,1.3119532465934753,8.108828008174896
128,2,0.0,0.001,1e-05,none,20,0.17718730866909027,52,1.4669067151844501,9.162911735475063
128,2,0.2,0.01,0.0001,step,20,0.19301895517855883,34,1.5670900531113148,9.621882513165474
128,2,0.2,0.01,0.0001,none,20,0.19471809430979192,55,1.6264725364744663,9.758257120847702
128,2,0.2,0.01,1e-05,step,20,0.2263882567640394,20,1.8619320876896381,11.542650401592255
128,2,0.2,0.01,1e-05,none,20,0.2068779927212745,27,4.524447284638882,56.24400216341019
128,2,0.2,0.001,0.0001,step,20,0.18016921170055866,52,1.380011336877942,8.813295044004917
128,2,0.2,0.001,0.0001,none,20,0.20471000811085105,34,1.6701902337372303,10.585600912570953
128,2,0.2,0.001,1e-05,step,20,0.17341504152864218,72,1.3550476990640163,8.55998319387436
128,2,0.2,0.001,1e-05,none,20,0.1901963611599058,46,1.5674456469714642,9.97074942290783
256,1,0.0,0.01,0.0001,step,20,0.17201320291496813,61,1.3631081990897655,8.56719420850277
256,1,0.0,0.01,0.0001,none,20,0.19564964878372848,40,1.8346640691161156,10.91448649764061
256,1,0.0,0.01,1e-05,step,20,0.17810371052473783,41,1.3689066357910633,8.719250440597534
256,1,0.0,0.01,1e-05,none,20,0.18331228871829808,36,1.5559026189148426,9.639253586530685
256,1,0.0,0.001,0.0001,step,20,0.18369910586625338,52,1.4111861996352673,9.024027347564697
256,1,0.0,0.001,0.0001,none,20,0.18315230566076934,63,1.4341300074011087,9.078748501837254
256,1,0.0,0.001,1e-05,step,20,0.18401547684334219,32,1.4500920847058296,9.140050157904625
256,1,0.0,0.001,1e-05,none,20,0.17849014757666737,52,1.4394754711538553,8.847764827311039
256,1,0.2,0.01,0.0001,step,20,0.18236665707081556,34,1.4271414503455162,8.991013340651989
256,1,0.2,0.01,0.0001,none,20,0.1939302620012313,43,2.2525375336408615,17.007010087370872
256,1,0.2,0.01,1e-05,step,20,0.22532947454601526,18,2.642163433134556,16.909206718206406
256,1,0.2,0.01,1e-05,none,20,0.181827406398952,40,1.561732828617096,9.429536819458008
256,1,0.2,0.001,0.0001,step,20,0.18848731298930943,39,1.479780588299036,9.378987327218056
256,1,0.2,0.001,0.0001,none,20,0.19066094420850277,47,1.5230023860931396,9.754690065979958
256,1,0.2,0.001,1e-05,step,20,0.17715830961242318,59,1.3519065584987402,8.722047545015812
256,1,0.2,0.001,1e-05,none,20,0.17317924741655588,70,1.4466405138373375,8.962985873222351
256,2,0.0,0.01,0.0001,step,20,0.18016378907486796,52,1.421608630567789,8.872213423252106
256,2,0.0,0.01,0.0001,none,20,0.19453863590024412,48,2.7002004981040955,24.686522901058197
256,2,0.0,0.01,1e-05,step,20,0.1728984087239951,51,1.3934554904699326,8.560983404517174
256,2,0.0,0.01,1e-05,none,20,0.18588030547834933,54,2.407073300331831,21.32088953256607
256,2,0.0,0.001,0.0001,step,20,0.17097119940444827,58,1.364329094067216,8.419717974960804
256,2,0.0,0.001,0.0001,none,20,0.18122677342034876,62,1.58440413326025,9.457974582910538
256,2,0.0,0.001,1e-05,step,20,0.1719051452819258,40,1.387800795957446,8.538350000977516
256,2,0.0,0.001,1e-05,none,20,0.180033486103639,40,1.5630018524825573,9.67660328745842
256,2,0.2,0.01,0.0001,step,20,0.18739837827160954,60,1.502043679356575,9.192177891731262
256,2,0.2,0.01,0.0001,none,20,0.2308354265987873,42,2.0374117344617844,12.529711544513702
256,2,0.2,0.01,1e-05,step,20,0.182055534562096,37,1.5860748589038849,9.590171255171299
256,2,0.2,0.01,1e-05,none,20,0.47286856081336737,14,4.36219184845686,52.49482887983322
256,2,0.2,0.001,0.0001,step,20,0.168935832567513,80,1.3297526016831398,8.352530486881733
256,2,0.2,0.001,0.0001,none,20,0.18539507407695055,80,1.529760017991066,9.562489554286003
256,2,0.2,0.001,1e-05,step,20,0.16792985750362277,57,1.337674206122756,8.374420516192913
256,2,0.2,0.001,1e-05,none,20,0.17506085999775678,73,1.4818329028785229,8.966717153787613
